REGION,Doedsaarsag,Koen2,Alder2,Aar,VAERDI
Hele landet,Alle dødsårsager,Begge køn,5-9,2009,22
Hele landet,Alle dødsårsager,Begge køn,5-9,2010,20
Hele landet,Alle dødsårsager,Begge køn,5-9,2011,29
Hele landet,Alle dødsårsager,Begge køn,5-9,2012,24
Hele landet,Alle dødsårsager,Begge køn,5-9,2013,19
Hele landet,Alle dødsårsager,Begge køn,5-9,2014,13
Hele landet,Alle dødsårsager,Begge køn,5-9,2015,21
Hele landet,Alle dødsårsager,Begge køn,5-9,2016,28
Hele landet,Alle dødsårsager,Begge køn,10-14,2002,36
Hele landet,Alle dødsårsager,Begge køn,10-14,2003,43
Hele landet,Alle dødsårsager,Begge køn,10-14,2004,50
Hele landet,Alle dødsårsager,Begge køn,10-14,2005,29
Hele landet,Alle dødsårsager,Begge køn,10-14,2006,39
Hele landet,Alle dødsårsager,Begge køn,10-14,2007,38
Hele landet,Alle dødsårsager,Begge køn,10-14,2008,41
Hele landet,Alle dødsårsager,Begge køn,10-14,2009,28
Hele landet,Alle dødsårsager,Begge køn,10-14,2010,23
Hele landet,Alle dødsårsager,Begge køn,10-14,2011,28
Hele landet,Alle dødsårsager,Begge køn,10-14,2012,18
Hele landet,Alle dødsårsager,Begge køn,10-14,2013,23
Hele landet,Alle dødsårsager,Begge køn,10-14,2014,22
Hele landet,Alle dødsårsager,Begge køn,10-14,2015,22
Hele landet,Alle dødsårsager,Begge køn,10-14,2016,19
Hele landet,Alle dødsårsager,Begge køn,15-19,2002,122
Hele landet,Alle dødsårsager,Begge køn,15-19,2003,93
Hele landet,Alle dødsårsager,Begge køn,15-19,2004,102
Hele landet,Alle dødsårsager,Begge køn,15-19,2005,110
Hele landet,Alle dødsårsager,Begge køn,15-19,2006,106
Hele landet,Alle dødsårsager,Begge køn,15-19,2007,109
Hele landet,Alle dødsårsager,Begge køn,15-19,2008,108
Hele landet,Alle dødsårsager,Begge køn,15-19,2009,101
Hele landet,Alle dødsårsager,Begge køn,15-19,2010,83
Hele landet,Alle dødsårsager,Begge køn,15-19,2011,80
Hele landet,Alle dødsårsager,Begge køn,15-19,2012,65
Hele landet,Alle dødsårsager,Begge køn,15-19,2013,77
Hele landet,Alle dødsårsager,Begge køn,15-19,2014,59
Hele landet,Alle dødsårsager,Begge køn,15-19,2015,57
Hele landet,Alle dødsårsager,Begge køn,15-19,2016,54
Hele landet,Alle dødsårsager,Begge køn,20-24,2002,161
Hele landet,Alle dødsårsager,Begge køn,20-24,2003,151
Hele landet,Alle dødsårsager,Begge køn,20-24,2004,155
Hele landet,Alle dødsårsager,Begge køn,20-24,2005,111
Hele landet,Alle dødsårsager,Begge køn,20-24,2006,133
Hele landet,Alle dødsårsager,Begge køn,20-24,2007,123
Hele landet,Alle dødsårsager,Begge køn,20-24,2008,154
Hele landet,Alle dødsårsager,Begge køn,20-24,2009,122
Hele landet,Alle dødsårsager,Begge køn,20-24,2010,129
Hele landet,Alle dødsårsager,Begge køn,20-24,2011,124
Hele landet,Alle dødsårsager,Begge køn,20-24,2012,109
Hele landet,Alle dødsårsager,Begge køn,20-24,2013,89
Hele landet,Alle dødsårsager,Begge køn,20-24,2014,102
Hele landet,Alle dødsårsager,Begge køn,20-24,2015,115
Hele landet,Alle dødsårsager,Begge køn,20-24,2016,130
Hele landet,Alle dødsårsager,Begge køn,25-29,2002,202
Hele landet,Alle dødsårsager,Begge køn,25-29,2003,188
Hele landet,Alle dødsårsager,Begge køn,25-29,2004,168
Hele landet,Alle dødsårsager,Begge køn,25-29,2005,191
Hele landet,Alle dødsårsager,Begge køn,25-29,2006,146
Hele landet,Alle dødsårsager,Begge køn,25-29,2007,163
Hele landet,Alle dødsårsager,Begge køn,25-29,2008,133
Hele landet,Alle dødsårsager,Begge køn,25-29,2009,164
Hele landet,Alle dødsårsager,Begge køn,25-29,2010,125
Hele landet,Alle dødsårsager,Begge køn,25-29,2011,101
Hele landet,Alle dødsårsager,Begge køn,25-29,2012,110
Hele landet,Alle dødsårsager,Begge køn,25-29,2013,104
Hele landet,Alle dødsårsager,Begge køn,25-29,2014,110
Hele landet,Alle dødsårsager,Begge køn,25-29,2015,109
Hele landet,Alle dødsårsager,Begge køn,25-29,2016,136
Hele landet,Alle dødsårsager,Begge køn,30-34,2002,295
Hele landet,Alle dødsårsager,Begge køn,30-34,2003,265
Hele landet,Alle dødsårsager,Begge køn,30-34,2004,271
Hele landet,Alle dødsårsager,Begge køn,30-34,2005,223
Hele landet,Alle dødsårsager,Begge køn,30-34,2006,228
Hele landet,Alle dødsårsager,Begge køn,30-34,2007,218
Hele landet,Alle dødsårsager,Begge køn,30-34,2008,236
Hele landet,Alle dødsårsager,Begge køn,30-34,2009,216
Hele landet,Alle dødsårsager,Begge køn,30-34,2010,167
Hele landet,Alle dødsårsager,Begge køn,30-34,2011,186
Hele landet,Alle dødsårsager,Begge køn,30-34,2012,146
Hele landet,Alle dødsårsager,Begge køn,30-34,2013,139
Hele landet,Alle dødsårsager,Begge køn,30-34,2014,169
Hele landet,Alle dødsårsager,Begge køn,30-34,2015,128
Hele landet,Alle dødsårsager,Begge køn,30-34,2016,148
Hele landet,Alle dødsårsager,Begge køn,35-39,2002,497
Hele landet,Alle dødsårsager,Begge køn,35-39,2003,444
Hele landet,Alle dødsårsager,Begge køn,35-39,2004,468
Hele landet,Alle dødsårsager,Begge køn,35-39,2005,359
Hele landet,Alle dødsårsager,Begge køn,35-39,2006,379
Hele landet,Alle dødsårsager,Begge køn,35-39,2007,347
Hele landet,Alle dødsårsager,Begge køn,35-39,2008,352
Hele landet,Alle dødsårsager,Begge køn,35-39,2009,345
Hele landet,Alle dødsårsager,Begge køn,35-39,2010,300
Hele landet,Alle dødsårsager,Begge køn,35-39,2011,298
Hele landet,Alle dødsårsager,Begge køn,35-39,2012,257
Hele landet,Alle dødsårsager,Begge køn,35-39,2013,256
Hele landet,Alle dødsårsager,Begge køn,35-39,2014,261
Hele landet,Alle dødsårsager,Begge køn,35-39,2015,216
Hele landet,Alle dødsårsager,Begge køn,35-39,2016,233
Hele landet,Alle dødsårsager,Begge køn,40-44,2002,722
Hele landet,Alle dødsårsager,Begge køn,40-44,2003,686
Hele landet,Alle dødsårsager,Begge køn,40-44,2004,698
Hele landet,Alle dødsårsager,Begge køn,40-44,2005,620
Hele landet,Alle dødsårsager,Begge køn,40-44,2006,698
Hele landet,Alle dødsårsager,Begge køn,40-44,2007,691
Hele landet,Alle dødsårsager,Begge køn,40-44,2008,640
Hele landet,Alle dødsårsager,Begge køn,40-44,2009,590
Hele landet,Alle dødsårsager,Begge køn,40-44,2010,571
Hele landet,Alle dødsårsager,Begge køn,40-44,2011,506
Hele landet,Alle dødsårsager,Begge køn,40-44,2012,473
Hele landet,Alle dødsårsager,Begge køn,40-44,2013,454
Hele landet,Alle dødsårsager,Begge køn,40-44,2014,428
Hele landet,Alle dødsårsager,Begge køn,40-44,2015,413
Hele landet,Alle dødsårsager,Begge køn,40-44,2016,398
Hele landet,Alle dødsårsager,Begge køn,45-49,2002,1.120
Hele landet,Alle dødsårsager,Begge køn,45-49,2003,1.210
Hele landet,Alle dødsårsager,Begge køn,45-49,2004,1.110
Hele landet,Alle dødsårsager,Begge køn,45-49,2005,1.058
Hele landet,Alle dødsårsager,Begge køn,45-49,2006,1.013
Hele landet,Alle dødsårsager,Begge køn,45-49,2007,1.068
Hele landet,Alle dødsårsager,Begge køn,45-49,2008,996
Hele landet,Alle dødsårsager,Begge køn,45-49,2009,953
Hele landet,Alle dødsårsager,Begge køn,45-49,2010,970
Hele landet,Alle dødsårsager,Begge køn,45-49,2011,963
Hele landet,Alle dødsårsager,Begge køn,45-49,2012,903
Hele landet,Alle dødsårsager,Begge køn,45-49,2013,837
Hele landet,Alle dødsårsager,Begge køn,45-49,2014,820
Hele landet,Alle dødsårsager,Begge køn,45-49,2015,775
Hele landet,Alle dødsårsager,Begge køn,45-49,2016,739
Hele landet,Alle dødsårsager,Begge køn,50-54,2002,1.843
Hele landet,Alle dødsårsager,Begge køn,50-54,2003,1.756
Hele landet,Alle dødsårsager,Begge køn,50-54,2004,1.749
Hele landet,Alle dødsårsager,Begge køn,50-54,2005,1.703
Hele landet,Alle dødsårsager,Begge køn,50-54,2006,1.749
Hele landet,Alle dødsårsager,Begge køn,50-54,2007,1.779
Hele landet,Alle dødsårsager,Begge køn,50-54,2008,1.621
Hele landet,Alle dødsårsager,Begge køn,50-54,2009,1.559
Hele landet,Alle dødsårsager,Begge køn,50-54,2010,1.604
Hele landet,Alle dødsårsager,Begge køn,50-54,2011,1.429
Hele landet,Alle dødsårsager,Begge køn,50-54,2012,1.402
Hele landet,Alle dødsårsager,Begge køn,50-54,2013,1.380
Hele landet,Alle dødsårsager,Begge køn,50-54,2014,1.316
Hele landet,Alle dødsårsager,Begge køn,50-54,2015,1.349
Hele landet,Alle dødsårsager,Begge køn,50-54,2016,1.283
Hele landet,Alle dødsårsager,Begge køn,55-59,2002,2.886
Hele landet,Alle dødsårsager,Begge køn,55-59,2003,2.906
Hele landet,Alle dødsårsager,Begge køn,55-59,2004,2.758
Hele landet,Alle dødsårsager,Begge køn,55-59,2005,2.618
Hele landet,Alle dødsårsager,Begge køn,55-59,2006,2.632
Hele landet,Alle dødsårsager,Begge køn,55-59,2007,2.553
Hele landet,Alle dødsårsager,Begge køn,55-59,2008,2.343
Hele landet,Alle dødsårsager,Begge køn,55-59,2009,2.414
Hele landet,Alle dødsårsager,Begge køn,55-59,2010,2.364
Hele landet,Alle dødsårsager,Begge køn,55-59,2011,2.223
Hele landet,Alle dødsårsager,Begge køn,55-59,2012,2.209
Hele landet,Alle dødsårsager,Begge køn,55-59,2013,2.162
Hele landet,Alle dødsårsager,Begge køn,55-59,2014,2.007
Hele landet,Alle dødsårsager,Begge køn,55-59,2015,1.991
Hele landet,Alle dødsårsager,Begge køn,55-59,2016,2.042
Hele landet,Alle dødsårsager,Begge køn,60-64,2002,3.289
Hele landet,Alle dødsårsager,Begge køn,60-64,2003,3.374
Hele landet,Alle dødsårsager,Begge køn,60-64,2004,3.512
Hele landet,Alle dødsårsager,Begge køn,60-64,2005,3.536
Hele landet,Alle dødsårsager,Begge køn,60-64,2006,3.873
Hele landet,Alle dødsårsager,Begge køn,60-64,2007,3.960
Hele landet,Alle dødsårsager,Begge køn,60-64,2008,3.912
Hele landet,Alle dødsårsager,Begge køn,60-64,2009,3.922
Hele landet,Alle dødsårsager,Begge køn,60-64,2010,3.654
Hele landet,Alle dødsårsager,Begge køn,60-64,2011,3.363
Hele landet,Alle dødsårsager,Begge køn,60-64,2012,3.162
Hele landet,Alle dødsårsager,Begge køn,60-64,2013,3.130
Hele landet,Alle dødsårsager,Begge køn,60-64,2014,3.149
Hele landet,Alle dødsårsager,Begge køn,60-64,2015,3.094
Hele landet,Alle dødsårsager,Begge køn,60-64,2016,3.071
Hele landet,Alle dødsårsager,Begge køn,65-69,2002,4.526
Hele landet,Alle dødsårsager,Begge køn,65-69,2003,4.408
Hele landet,Alle dødsårsager,Begge køn,65-69,2004,4.245
Hele landet,Alle dødsårsager,Begge køn,65-69,2005,4.244
Hele landet,Alle dødsårsager,Begge køn,65-69,2006,4.262
Hele landet,Alle dødsårsager,Begge køn,65-69,2007,4.248
Hele landet,Alle dødsårsager,Begge køn,65-69,2008,4.463
Hele landet,Alle dødsårsager,Begge køn,65-69,2009,4.528
Hele landet,Alle dødsårsager,Begge køn,65-69,2010,4.652
Hele landet,Alle dødsårsager,Begge køn,65-69,2011,4.715
Hele landet,Alle dødsårsager,Begge køn,65-69,2012,4.982
Hele landet,Alle dødsårsager,Begge køn,65-69,2013,4.866
Hele landet,Alle dødsårsager,Begge køn,65-69,2014,4.827
Hele landet,Alle dødsårsager,Begge køn,65-69,2015,4.623
Hele landet,Alle dødsårsager,Begge køn,65-69,2016,4.517
Hele landet,Alle dødsårsager,Begge køn,70-74,2002,6.285
Hele landet,Alle dødsårsager,Begge køn,70-74,2003,6.124
Hele landet,Alle dødsårsager,Begge køn,70-74,2004,5.845
Hele landet,Alle dødsårsager,Begge køn,70-74,2005,5.616
Hele landet,Alle dødsårsager,Begge køn,70-74,2006,5.687
Hele landet,Alle dødsårsager,Begge køn,70-74,2007,5.576
Hele landet,Alle dødsårsager,Begge køn,70-74,2008,5.491
Hele landet,Alle dødsårsager,Begge køn,70-74,2009,5.415
Hele landet,Alle dødsårsager,Begge køn,70-74,2010,5.589
Hele landet,Alle dødsårsager,Begge køn,70-74,2011,5.347
Hele landet,Alle dødsårsager,Begge køn,70-74,2012,5.395
Hele landet,Alle dødsårsager,Begge køn,70-74,2013,5.442
Hele landet,Alle dødsårsager,Begge køn,70-74,2014,5.569
Hele landet,Alle dødsårsager,Begge køn,70-74,2015,6.023
Hele landet,Alle dødsårsager,Begge køn,70-74,2016,6.220
Hele landet,Alle dødsårsager,Begge køn,75-79,2002,8.518
Hele landet,Alle dødsårsager,Begge køn,75-79,2003,8.157
Hele landet,Alle dødsårsager,Begge køn,75-79,2004,7.808
Hele landet,Alle dødsårsager,Begge køn,75-79,2005,7.538
Hele landet,Alle dødsårsager,Begge køn,75-79,2006,7.566
Hele landet,Alle dødsårsager,Begge køn,75-79,2007,7.278
Hele landet,Alle dødsårsager,Begge køn,75-79,2008,7.110
Hele landet,Alle dødsårsager,Begge køn,75-79,2009,7.172
Hele landet,Alle dødsårsager,Begge køn,75-79,2010,7.003
Hele landet,Alle dødsårsager,Begge køn,75-79,2011,6.878
Hele landet,Alle dødsårsager,Begge køn,75-79,2012,6.800
Hele landet,Alle dødsårsager,Begge køn,75-79,2013,6.662
Hele landet,Alle dødsårsager,Begge køn,75-79,2014,6.608
Hele landet,Alle dødsårsager,Begge køn,75-79,2015,6.640
Hele landet,Alle dødsårsager,Begge køn,75-79,2016,6.821
Hele landet,Alle dødsårsager,Begge køn,80-84,2002,9.888
Hele landet,Alle dødsårsager,Begge køn,80-84,2003,9.838
Hele landet,Alle dødsårsager,Begge køn,80-84,2004,9.600
Hele landet,Alle dødsårsager,Begge køn,80-84,2005,9.358
Hele landet,Alle dødsårsager,Begge køn,80-84,2006,9.092
Hele landet,Alle dødsårsager,Begge køn,80-84,2007,9.149
Hele landet,Alle dødsårsager,Begge køn,80-84,2008,8.735
Hele landet,Alle dødsårsager,Begge køn,80-84,2009,8.855
Hele landet,Alle dødsårsager,Begge køn,80-84,2010,8.619
Hele landet,Alle dødsårsager,Begge køn,80-84,2011,8.133
Hele landet,Alle dødsårsager,Begge køn,80-84,2012,8.339
Hele landet,Alle dødsårsager,Begge køn,80-84,2013,8.242
Hele landet,Alle dødsårsager,Begge køn,80-84,2014,7.743
Hele landet,Alle dødsårsager,Begge køn,80-84,2015,8.037
Hele landet,Alle dødsårsager,Begge køn,80-84,2016,8.062
Hele landet,Alle dødsårsager,Begge køn,85+,2002,17.564
Hele landet,Alle dødsårsager,Begge køn,85+,2003,17.312
Hele landet,Alle dødsårsager,Begge køn,85+,2004,16.687
Hele landet,Alle dødsårsager,Begge køn,85+,2005,16.996
Hele landet,Alle dødsårsager,Begge køn,85+,2006,17.279
Hele landet,Alle dødsårsager,Begge køn,85+,2007,17.649
Hele landet,Alle dødsårsager,Begge køn,85+,2008,17.597
Hele landet,Alle dødsårsager,Begge køn,85+,2009,17.883
Hele landet,Alle dødsårsager,Begge køn,85+,2010,17.906
Hele landet,Alle dødsårsager,Begge køn,85+,2011,17.556
Hele landet,Alle dødsårsager,Begge køn,85+,2012,17.381
Hele landet,Alle dødsårsager,Begge køn,85+,2013,18.062
Hele landet,Alle dødsårsager,Begge køn,85+,2014,17.532
Hele landet,Alle dødsårsager,Begge køn,85+,2015,18.373
Hele landet,Alle dødsårsager,Begge køn,85+,2016,18.351
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2002,732
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2003,845
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2004,811
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2005,724
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2006,798
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2007,873
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2008,721
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2009,832
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2010,918
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2011,814
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2012,910
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2013,1.017
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2014,924
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2015,971
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,Alle aldre,2016,909
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2002,5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2003,7
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2004,8
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2005,5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2006,6
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2007,8
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2008,8
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2009,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2010,8
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2011,7
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2012,6
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2013,5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2014,8
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2015,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,0-4,2016,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2002,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2003,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2004,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2005,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2006,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2007,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2008,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2009,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2010,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2011,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2012,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2013,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2014,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2015,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,5-9,2016,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2002,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2003,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2004,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2005,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2006,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2007,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2008,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2009,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2010,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2011,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2012,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2013,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2014,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2015,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,10-14,2016,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2002,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2003,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2004,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2005,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2006,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2007,6
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2008,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2009,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2010,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2011,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2012,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2013,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2014,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2015,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,15-19,2016,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2002,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2003,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2004,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2005,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2006,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2007,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2008,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2009,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2010,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2011,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2012,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2013,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2014,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2015,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,20-24,2016,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2002,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2003,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2004,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2005,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2006,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2007,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2008,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2009,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2010,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2011,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2012,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2013,-
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2014,<5
Hele landet,A-01 Infektiøse inkl. parasitære sygdomme,Begge køn,25-29,2015,-
